Y-WET WEATHER;HAIL,RAIN,SLEET,SNOW
P-TITLE FIGURES IN CLASSIC VIDEO GAMES;GORILLA,HEDGEHOG,PLUMBER,PRINCESS
Y-FINEST;BEST,CREAM,ELITE,SELECT
G-ROCK MUSIC SUBGENRES;ALTERNATIVE,ARENA,CLASSIC,GARAGE
B-PAINT FINISHES;EGGSHELL,GLOSS,MATTE,PEARL
P-KINDS OF BEDS;FLOWER,NAIL,OYSTER,RIVER
Y-GOSSIP;BUZZ,DIRT,DISH,TALK
G-SEEN AT A WEDDING;ALTAR,BOUQUET,CAKE,RING
B-TEAM;BUNCH,CREW,GROUP,PACK
P-MUSICALS PLUS STARTING LETTER;BRENT,CHAIR,FANNIE,SCATS
Y-PARTS OF A RECORD PLAYER SETUP;AMP,PREAMP,SPEAKER,TURNTABLE
G-KINDS OF COATS;CAMEL,DUFFLE,PEA,TRENCH
B-THINGS THAT COME ON SPOOLS;FILM,TAPE,THREAD,WIRE
P-STARTING WITH HOMOPHONES OF GREETINGS;HAIKU,HAYSTACK,HELONIUM,YEOMAN
Y-USED TO GROW A HOUSEPLANT;POT,SEED,SOIL,WATER
G-FLABBERGAST;FLOOR,ROCK,SHAKE,SHOCK
B-MADONNA SONGS;CHERISH,FROZEN,HOLIDAY,MUSIC
P-___ CAR;BUMPER,CLOWN,GETAWAY,SPORTS
Y-FIX A HOLE IN CLOTHING;DARN,MEND,PATCH,STITCH
G-RUSH OF WIND;BLAST,BLOW,GALE,GUST
B-ANAGRAMS;ARTS,RATS,STAR,TSAR
P-KINDS OF COOKIES;FORTUNE,OATMEAL,RAINBOW,SUGAR
Y-BOUNDARY;BORDER,EDGE,EXTREMITY,LIMIT
G-THEY MOVE IN A SPIRAL;EDDY,FOOTBALL,TASMANIAN DEVIL,TORNADO
B-SONGS FROM MUSICALS;CABARET,EDELWEISS,MAMMA MIA,MEMORY
P-WHAT ED MIGHT INDICATE;EDITOR,EDUCATION,EDWARD,PAST TENSE
Y-DOG COMMANDS;COME,DOWN,HEEL,STAY
G-DESERVED;DUE,FAIR,JUST,RIGHT
B-SITUATED;LEFT,PLACED,PUT,SET
P-BEST ANIMATED FEATURE OSCAR WINNERS;BRAVE,FLOW,FROZEN,UP
Y-FAST MOVING WATER;CATARACT,CURRENT,RAPIDS,WHIRLPOOL
G-CRITICIZE;FLAME,KNOCK,SKEWER,SLAM
B-ECHOEY PLACES;CANYON,HALLWAY,TUNNEL,ZOOM CALL
P-___ PRIZE;BOOBY,DOOR,FIRST,JURY
Y-UNNATURAL AS MANNERISMS;AWKWARD,STIFF,STILTED,WOODEN
G-WORDS IN A FAMOUS TONGUE TWISTER;CHUCK,COULD,WOOD,WOODCHUCK
B-CARTOON BIRDS;FOGHORN,SCROOGE,WOODSTOCK,WOODY
P-ENDING WITH NUMBER HOMOPHONES;CLASSICS,CREATE,GUTHRIE,THEREFORE
Y-KINDS OF UNDERWEAR;BOXER,BRIEF,HIPSTER,THONG
G-PLAY A JOKE ON;FOOL,PRANK,PUNK,TRICK
B-PARTS OF A TOILET TANK;CHAIN,FLAPPER,FLOAT,HANDLE
P-FIRST WORDS IN 70S ROCK SONG TITLES;BABA,BOHEMIAN,HOTEL,STAIRWAY
Y-BACKING;AEGIS,GUARD,PROTECTION,SHIELD
G-MALICIOUS SOFTWARE;BACKDOOR,TROJAN HORSE,VIRUS,WORM
B-GUM BRANDS;EXTRA,ICE BREAKERS,ORBIT,TRIDENT
P-NFL TEAM LOGOS;BUFFALO,FLEUR-DE-LIS,HORSESHOE,LIGHTNING BOLT
Y-LOVING;KIND,SWEET,TENDER,WARM
G-APPENDAGES;ARM,FIN,FLIPPER,WING
B-POPCORN MAKING METHODS;KETTLE,MICROWAVE,POPPER,STOVETOP
P-SQUANDER WITH AWAY;FIDDLE,FRITTER,THROW,TRIFLE
Y-STIR VIGOROUSLY;BEAT,CREAM,WHIP,WHISK
G-HARD TO MAKE OUT;DIM,FAINT,LIGHT,PALE
B-KINDS OF BEARS;BLACK,BROWN,POLAR,SUN
P-DIRTY ___;BLONDE,POOL,RICE,WORD
Y-LEFT LEANING POLITICALLY;BLUE,LEFT,LIBERAL,PROGRESSIVE
G-ICE CREAM PARLOR ORDERS;CONE,CUP,SHAKE,SPLIT
B-MATT DAMON MOVIES WITH THE;DEPARTED,GOOD SHEPHERD,MARTIAN,RAINMAKER
P-NAMED APOLLO;FICTIONAL BOXER,GREEK ROMAN GOD,SPACECRAFT,THEATER
Y-MOVIE;FEATURE,FILM,FLICK,PICTURE
G-STREW;LITTER,PEPPER,SCATTER,SPRINKLE
B-WRINKLY THINGS;BRAIN,CREPE PAPER,PRUNE,SHAR PEI
P-SWEET ___;POTATO,SIXTEEN,TALK,TOOTH
Y-CHEERFUL;BOUNCY,BRIGHT,MERRY,SUNNY
G-RUBBER BABY BUGGY BUMPER;BABY,BUGGY,BUMPER,RUBBER
B-KINDS OF LUGGAGE;CARRY-ON,DUFFEL,HARD-SHELL,ROLLER
P-TITLE CHARACTERS IN 80S MOVIES;FERRIS,HEATHER,INDIANA,PEE-WEE
Y-BASIC GEOMETRIC CALCULATIONS;AREA,LENGTH,PERIMETER,VOLUME
G-BLACK AND WHITE THINGS;CROSSWORD,DOMINO,ORCA,OREO
B-LAS VEGAS CASINO HOTELS;ARIA,ENCORE,EXCALIBUR,LUXOR
P-WORDS THAT SOUND LIKE PLURAL LETTERS;ARS,AYES,EASE,OWES
Y-TOUCHSCREEN GESTURES;PINCH,SCROLL,SWIPE,TAP
G-RELAX;CHILL,LOAF,LOUNGE,VEG
B-RESTAURANT SEATING OPTIONS;BAR,BOOTH,COUNTER,TABLE
P-VEGETABLES WITH FIRST LETTER REMOVED;ALE,EEK,HIVE,QUASH
Y-CAR BRANDS;DODGE,FORD,LINCOLN,RAM
G-BIT OF SPORTS BAR FARE;CHIP,DIP,FRY,WING
B-NHL TEAM MEMBER;DUCK,FLYER,SENATOR,STAR
P-SKY___;DIVE,LARK,ROCKET,SCRAPER
Y-EVALUATE;GRADE,RANK,RATE,SCORE
G-EXHIBIT NERVOUSNESS;BLUSH,FIDGET,PACE,SWEAT
B-THINGS THAT CAN RUN ANNOYINGLY;DYE,MASCARA,NOSE,STOCKINGS
P-PAPER ___;CLIP,TIGER,TOWEL,TRAIL
Y-INTO IT;DOWN,EAGER,GAME,WILLING
G-FURNISH;EQUIP,OUTFIT,PREPARE,READY
B-ORGS WITH STARS IN THEIR LOGOS;NASA,NFL,PARAMOUNT,SUBARU
P-HOMOPHONES OF GENESIS FIGURES;ABLE,CANE,EAVE,NOAA
Y-THEYRE BLOWIN IN THE WIND;FLAG,PINWHEEL,VANE,WIND CHIME
G-CHANGE ONES TUNE;ABOUT-FACE,BACKPEDAL,FLIP-FLOP,RENEGE
B-CRAM;JAM,SHOEHORN,STUFF,WEDGE
P-LAST WORDS IN LONG RUNNING CHILDRENS SHOW TITLES;KANGAROO,NEIGHBORHOOD,RAINBOW,STREET
Y-KEEP TABS ON;FOLLOW,MONITOR,TRACK,WATCH
G-ONE IN A DOZEN;DONUT,JUROR,MONTH,ROSE
B-THINGS WITH INK;PEN,PRINTER,SQUID,TATTOO MACHINE
P-___ RABBIT;ROGER,TRIX,VELVETEEN,WHITE
Y-FLOORING OPTIONS;CARPET,LAMINATE,TILE,WOOD
G-BEACHY AREA;BANK,COAST,SHORE,STRAND
B-ROMANTIC VIBE;CHEMISTRY,CONNECTION,FIREWORKS,SPARK
P-MEMBER OF A CLASSIC BACKING BAND;BANSHEE,HEARTBREAKER,PIP,WAILER
Y-ENTRYWAY;DOOR,GATE,HATCH,PORTAL
G-MAP FEATURES;COMPASS,INSET,KEY,SCALE
B-SURPASS;BEAT,BEST,BETTER,TOP
P-STREETS WITH SYMBOLIC IMPORTANCE;DOWNING,FLEET,MAIN,WALL
Y-IMPORTANT;CRITICAL,KEY,MAJOR,PRINCIPAL
G-INTIMATE AND UNDISCLOSED;INNER,PERSONAL,PRIVATE,SECRET
B-GLOBAL CURRENCIES;DOLLAR,POUND,STERLING,WON
P-BUFFALO ___;BILL,NICKEL,SOLDIER,WING
Y-ENTREATY;APPEAL,BID,CALL,PETITION
G-CONTACT INFO;ADDRESS,EMAIL,NAME,NUMBER
B-KINDS OF CAMERA LENSES;FISHEYE,MACRO,TELEPHOTO,ZOOM
P-BODIES OF WATER PLUS STARTING LETTER;DRIVER,EBAY,FINLET,FLAKE
Y-BLEMISH;DENT,DING,MAR,SCRATCH
G-BEHEMOTH;COLOSSUS,MAMMOTH,WHALE,WHOPPER
B-RUDE THINGS TO DO;POINT,SNICKER,STARE,WHISPER
P-ON A BASEBALL FIELD;BASE,BOX,MOUND,PLATE
Y-YOU SHOULD KNOW BETTER;BAD,SHAME,TSK,TUT TUT
G-MOVE QUICKLY;BARREL,FLY,RACE,ZIP
B-EDDIE MURPHY ROLES;AKEEM,DOLITTLE,DONKEY,FOLEY
P-KING ___;CAKE,COBRA,KONG,TUT
Y-FINISHED;COMPLETE,DONE,OVER,THROUGH
G-THINGS WITH SHELLS;EGG,HARD TACO,M&M,SNAIL
B-SWIG;BELT,GULP,SHOT,SLUG
P-___DOG;BULL,LAP,UNDER,WATCH
Y-NONSENSE;BALONEY,BULL,BUNK,RUBBISH
G-INCREASE WITH UP;CRANK,HIKE,JACK,RAISE
B-FICTIONAL SPIES;ARCHER,HUNT,PEEL,POWERS
P-CAT___;FISH,NAP,TAIL,WALK
Y-GYMNASTICS MOVES;AERIAL,ARABESQUE,ROUNDOFF,SPLIT
G-DISNEY PRINCESSES;ARIEL,AURORA,MERIDA,TIANA
B-FONTS;ARIAL,GEORGIA,IMPACT,VERDANA
P-GEOMETRY ADJECTIVES;ANGULAR,AREAL,LINEAR,VOLUMETRIC
Y-RUPTURED;BLEW,BROKE,BURST,SPLIT
G-APPARITION;SHADE,SPECTER,SPIRIT,WIGHT
B-PREDICT;CALL,DIVINE,FORECAST,READ
P-BEST ___ PERFORMANCE GRAMMY AWARD;AMERICANA,CHORAL,JAZZ,RAP
Y-PIQUANCY;KICK,PUNCH,ZEST,ZING
G-AVAILABLE;FREE,SINGLE,SOLO,STAG
B-MALE ANIMALS;BILLY,BUCK,JACK,RAM
P-CHINESE DYNASTIES;HAN,MING,SONG,TANG
Y-WHAT YOU MIGHT SEE ON A CHRISTMAS TREE;ANGEL,CANDY CANE,STRING LIGHTS,TINSEL
G-CLEAN UP AS A PHOTOGRAPH;AIRBRUSH,FIX,PHOTOSHOP,TOUCH UP
B-FRENCH FOOD WORDS;CORNICHON,PAIN,PAMPLEMOUSSE,VINAIGRETTE
P-THINGS WITH CELLS;HONEYCOMB,ORGANISM,SOLAR PANEL,SPREADSHEET
Y-BEGINNING;BIRTH,DAWN,GENESIS,START
G-JOIN;BOND,COMBINE,FUSE,WED
B-TV RELATED ABBREVIATIONS IN THE 80S;ALF,MTV,NES,VHS
P-MAY___;DAY,FLOWER,FLY,POLE
Y-CURSES;EXPLETIVES,FOUR LETTER WORDS,PROFANITY,SWEARING
G-IN A VISIT FROM ST NICHOLAS;CHRISTMAS,HOUSE,MOUSE,STIRRING
B-WORN BY EARRING MAGIC KEN;EARRING,MESH SHIRT,NECKLACE,PLEATHER VEST
P-STARTING WITH POSSESSIVE DETERMINERS;HERRING,HISTAMINE,MYSTERY,OUROBOROS
Y-FIRST APPEARANCE;DEBUT,INTRODUCTION,LAUNCH,PREMIERE
G-ONES CELEBRATED WITH HOLIDAYS;MOTHER,PRESIDENT,SAINT PATRICK,SAINT VALENTINE
B-FAMOUS POETS;BISHOP,BURNS,LORDE,POPE
P-WHAT CARDINAL MIGHT REFER TO;BIRD,CLERGY MEMBER,MLB PLAYER,NFL PLAYER
